PAH    39.7106 -119.3854
PEA    39.6075 -119.9613
SRV2   39.6533 -120.3432
SRVL   39.5709 -120.3306
WVA    39.9444 -119.8250
SRV4   39.8643 -119.9616
VCN    39.2956 -119.6503
VPK    39.4722 -120.0398
SAT    39.6024 -120.4480
PYM2   40.1701 -119.7321
SMRN   39.5370 -119.7283
SRV3   39.6505 -120.4415
BAB    39.6024 -120.1059
BEK    39.8666 -120.3596
DON    39.3517 -120.3205
LOY    39.6586 -120.2368
SBT    39.6267 -120.6669
KBF    39.5067 -120.2139
PYM3   40.0715 -119.4850
MPK    39.2928 -120.0364
GZY    39.9619 -120.6513
PNT    39.0891 -119.5997
BFC    38.8938 -119.6094
BMR    40.1086 -120.2920
IND    39.4342 -120.2927
SWTP   39.5162 -119.7044
HVGC   39.4896 -119.7212
SPHI   39.5435 -119.7583
NMHS   39.5308 -119.7764
RFNV   39.5740 -119.8277
TNK    39.2674 -120.2368
YER    38.9852 -119.2406
REDF   39.3900 -119.7647
RUB    39.0517 -120.1549
GNO    38.9291 -119.8538
BMHS   39.4231 -119.7648
EMB    38.9744 -120.1029
SLID   39.3143 -119.8839
SMI    39.8672 -120.5306
UNRN   39.5269 -119.8186
WDEM   39.5841 -119.8099
CF02   39.1906 -119.7418
TAH    39.1515 -120.1630
NOAA   39.5681 -119.7958
SKYF   39.4825 -119.8340
EUR    39.7541 -120.7119
CCAD   39.1641 -119.7796
EGLV   39.1579 -119.7206
CF01   39.1595 -119.7637
CTC    39.2077 -120.1260
RF05   39.5089 -119.8366
